	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	jensen-shannon	0.466602975997387	0.4289815459443131
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	jensen-shannon	0.39947999164033854	0.4289815459443131
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	syntactic	[0.5  0.4  0.41 0.57 0.76 0.47 0.45 0.56]	"[0.50000001 0.60000001 0.59000001 0.43000001 0.24000001 0.53000001
 0.55000001 0.44000001]"	"[0.12886598 0.15463917 0.15206186 0.11082474 0.06185567 0.13659794
 0.14175258 0.11340206]"	jensen-shannon	0.4123125053707526	0.4289815459443131
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	inventory	[0.6393 0.5481 0.5804 0.4627 0.5914 0.5114 0.5273 0.6832]	"[0.36070001 0.45190001 0.41960001 0.53730001 0.40860001 0.48860001
 0.47270001 0.31680001]"	"[0.10436317 0.13075054 0.12140501 0.15545975 0.11822233 0.14136913
 0.13676871 0.09166136]"	jensen-shannon	0.39961599817661986	0.4289815459443131
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	phonological	[0.4788 0.3433 0.4788 0.4477 0.5641 0.4278 0.3613 0.5922]	"[0.52120001 0.65670001 0.52120001 0.55230001 0.43590001 0.57220001
 0.63870001 0.40780001]"	"[0.12104041 0.15250813 0.12104041 0.12826289 0.10123084 0.13288435
 0.14832791 0.09470506]"	jensen-shannon	0.4147605587674207	0.4289815459443131
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	featural	[0.6 0.5 0.5 0.5 0.7 0.5 0.5 0.6]	"[0.40000001 0.50000001 0.50000001 0.50000001 0.30000001 0.50000001
 0.50000001 0.40000001]"	"[0.11111111 0.13888889 0.13888889 0.13888889 0.08333333 0.13888889
 0.13888889 0.11111111]"	jensen-shannon	0.4020591040801801	0.4289815459443131
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	earth-mover	0.01832383297389807	0.10767852856250001
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	earth-mover	0.0792499776907663	0.10767852856250001
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	syntactic	[0.5  0.4  0.41 0.57 0.76 0.47 0.45 0.56]	"[0.50000001 0.60000001 0.59000001 0.43000001 0.24000001 0.53000001
 0.55000001 0.44000001]"	"[0.12886598 0.15463917 0.15206186 0.11082474 0.06185567 0.13659794
 0.14175258 0.11340206]"	earth-mover	0.09219468777281459	0.10767852856250001
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	inventory	[0.6393 0.5481 0.5804 0.4627 0.5914 0.5114 0.5273 0.6832]	"[0.36070001 0.45190001 0.41960001 0.53730001 0.40860001 0.48860001
 0.47270001 0.31680001]"	"[0.10436317 0.13075054 0.12140501 0.15545975 0.11822233 0.14136913
 0.13676871 0.09166136]"	earth-mover	0.09466272367919107	0.10767852856250001
