	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	jensen-shannon	0.605954071189285	0.5276870282723358
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	jensen-shannon	0.5357319710358184	0.5276870282723358
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	syntactic	[0.66 0.67 0.64 0.69 0.87 0.51 0.65 0.72]	"[0.34000001 0.33000001 0.36000001 0.31000001 0.13000001 0.49000001
 0.35000001 0.28000001]"	"[0.13127413 0.12741313 0.13899614 0.11969112 0.05019305 0.18918919
 0.13513513 0.10810811]"	jensen-shannon	0.49995548423033837	0.5276870282723358
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	inventory	[0.5689 0.4997 0.4938 0.4195 0.5285 0.4485 0.5478 0.6552]	"[0.43110001 0.50030001 0.50620001 0.58050001 0.47150001 0.55150001
 0.45220001 0.34480001]"	"[0.1123212  0.13035095 0.13188817 0.15124671 0.12284724 0.14369089
 0.11781871 0.08983612]"	jensen-shannon	0.4947785045382756	0.5276870282723358
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.563299057219969	0.5276870282723358
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	featural	[0.6 0.6 0.6 0.6 0.7 0.5 0.6 0.7]	"[0.40000001 0.40000001 0.40000001 0.40000001 0.30000001 0.50000001
 0.40000001 0.30000001]"	"[0.12903226 0.12903226 0.12903226 0.12903226 0.09677419 0.16129032
 0.12903226 0.09677419]"	jensen-shannon	0.5044728716922923	0.5276870282723358
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	earth-mover	0.051447184453965684	0.15298629879999998
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	earth-mover	0.1258636651282663	0.15298629879999998
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	syntactic	[0.66 0.67 0.64 0.69 0.87 0.51 0.65 0.72]	"[0.34000001 0.33000001 0.36000001 0.31000001 0.13000001 0.49000001
 0.35000001 0.28000001]"	"[0.13127413 0.12741313 0.13899614 0.11969112 0.05019305 0.18918919
 0.13513513 0.10810811]"	earth-mover	0.13343996735741565	0.15298629879999998
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	inventory	[0.5689 0.4997 0.4938 0.4195 0.5285 0.4485 0.5478 0.6552]	"[0.43110001 0.50030001 0.50620001 0.58050001 0.47150001 0.55150001
 0.45220001 0.34480001]"	"[0.1123212  0.13035095 0.13188817 0.15124671 0.12284724 0.14369089
 0.11781871 0.08983612]"	earth-mover	0.14175189920091502	0.15298629879999998
