	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	jensen-shannon	0.6839913139798048	0.6839913139798048
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	geographic	[0.4 0.4 0.5 0.3 0.  0.4 0.2 1. ]	"[6.00000010e-01 6.00000010e-01 5.00000010e-01 7.00000010e-01
 1.00000001e+00 6.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.25000000e-01 1.25000000e-01 1.04166667e-01 1.45833333e-01
 2.08333332e-01 1.25000000e-01 1.66666666e-01 2.08333330e-09]"	jensen-shannon	0.6677091752089402	0.6839913139798048
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	syntactic	[0.56 0.62 0.69 0.7  0.4  0.67 0.56 0.57]	"[0.44000001 0.38000001 0.31000001 0.30000001 0.60000001 0.33000001
 0.44000001 0.43000001]"	"[0.13622291 0.11764706 0.09597523 0.09287926 0.18575851 0.10216718
 0.13622291 0.13312693]"	jensen-shannon	0.7114737513456628	0.6839913139798048
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	inventory	[0.5227 0.4866 0.4804 0.4569 0.5204 0.5696 0.6511 0.6737]	"[0.47730001 0.51340001 0.51960001 0.54310001 0.47960001 0.43040001
 0.34890001 0.32630001]"	"[0.13117683 0.14109822 0.14280218 0.1492607  0.13180894 0.11828725
 0.09588853 0.08967735]"	jensen-shannon	0.6651156653812815	0.6839913139798048
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	phonological	[0.4934 0.4638 0.5804 0.4638 0.6875 0.5702 0.5    0.641 ]	"[0.50660001 0.53620001 0.41960001 0.53620001 0.31250001 0.42980001
 0.50000001 0.35900001]"	"[0.14072613 0.14894858 0.11655879 0.14894858 0.08680797 0.11939221
 0.13889275 0.09972499]"	jensen-shannon	0.6652214331182239	0.6839913139798048
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	featural	[0.5 0.5 0.6 0.6 0.5 0.6 0.6 0.6]	"[0.50000001 0.50000001 0.40000001 0.40000001 0.50000001 0.40000001
 0.40000001 0.40000001]"	"[0.14285714 0.14285714 0.11428571 0.11428571 0.14285714 0.11428571
 0.11428571 0.11428571]"	jensen-shannon	0.6927806742937447	0.6839913139798048
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	earth-mover	0.2146501881625	0.2146501881625
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	geographic	[0.4 0.4 0.5 0.3 0.  0.4 0.2 1. ]	"[6.00000010e-01 6.00000010e-01 5.00000010e-01 7.00000010e-01
 1.00000001e+00 6.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.25000000e-01 1.25000000e-01 1.04166667e-01 1.45833333e-01
 2.08333332e-01 1.25000000e-01 1.66666666e-01 2.08333330e-09]"	earth-mover	0.19381685517638889	0.2146501881625
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	syntactic	[0.56 0.62 0.69 0.7  0.4  0.67 0.56 0.57]	"[0.44000001 0.38000001 0.31000001 0.30000001 0.60000001 0.33000001
 0.44000001 0.43000001]"	"[0.13622291 0.11764706 0.09597523 0.09287926 0.18575851 0.10216718
 0.13622291 0.13312693]"	earth-mover	0.1994605600557416	0.2146501881625
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	inventory	[0.5227 0.4866 0.4804 0.4569 0.5204 0.5696 0.6511 0.6737]	"[0.47730001 0.51340001 0.51960001 0.54310001 0.47960001 0.43040001
 0.34890001 0.32630001]"	"[0.13117683 0.14109822 0.14280218 0.1492607  0.13180894 0.11828725
 0.09588853 0.08967735]"	earth-mover	0.20858501212919434	0.2146501881625
10	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	ko_KR	[2.4089e-06, 0.0046349072, 5.2e-09, 0.9836007525, 1e-10, 0.0117619116, 1.39e-08, 3e-10]	phonological	[0.4934 0.4638 0.5804 0.4638 0.6875 0.5702 0.5    0.641 ]	"[0.50660001 0.53620001 0.41960001 0.53620001 0.31250001 0.42980001
 0.50000001 0.35900001]"	"[0.14072613 0.14894858 0.11655879 0.14894858 0.08680797 0.11939221
 0.13889275 0.09972499]"	earth-mover	0.20866304281928813	0.2146501881625
