	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	jensen-shannon	0.6555757747387633	0.6555757747387633
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	geographic	[0.4 0.4 0.4 0.2 0.2 0.3 0.2 1. ]	"[6.0000001e-01 6.0000001e-01 6.0000001e-01 8.0000001e-01 8.0000001e-01
 7.0000001e-01 8.0000001e-01 1.0000000e-08]"	"[1.22448980e-01 1.22448980e-01 1.22448980e-01 1.63265305e-01
 1.63265305e-01 1.42857143e-01 1.63265305e-01 2.04081629e-09]"	jensen-shannon	0.6224482220305858	0.6555757747387633
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	syntactic	[0.66 0.73 0.74 0.78 0.5  0.8  0.71 0.61]	"[0.34000001 0.27000001 0.26000001 0.22000001 0.50000001 0.20000001
 0.29000001 0.39000001]"	"[0.13765182 0.10931174 0.10526316 0.08906883 0.20242915 0.08097166
 0.11740891 0.15789474]"	jensen-shannon	0.694921797204466	0.6555757747387633
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	inventory	[0.4502 0.3323 0.4708 0.384  0.4518 0.4606 0.5679 0.624 ]	"[0.54980001 0.66770001 0.52920001 0.61600001 0.54820001 0.53940001
 0.43210001 0.37600001]"	"[0.12910952 0.15679598 0.12427203 0.14465527 0.1287338  0.12666729
 0.10147004 0.08829607]"	jensen-shannon	0.6394890720820903	0.6555757747387633
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	phonological	[0.409  0.2566 0.4878 0.2566 0.47   0.4259 0.3743 0.5228]	"[0.59100001 0.74340001 0.51220001 0.74340001 0.53000001 0.57410001
 0.62570001 0.47720001]"	"[0.123202   0.15497186 0.10677507 0.15497186 0.11048572 0.11967897
 0.13043569 0.09947884]"	jensen-shannon	0.6328444191376417	0.6555757747387633
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	featural	[0.5 0.5 0.6 0.5 0.5 0.6 0.6 0.6]	"[0.50000001 0.50000001 0.40000001 0.50000001 0.50000001 0.40000001
 0.40000001 0.40000001]"	"[0.13888889 0.13888889 0.11111111 0.13888889 0.13888889 0.11111111
 0.11111111 0.11111111]"	jensen-shannon	0.6470763418785307	0.6555757747387633
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	genetic	[1. 1. 1. 1. 1. 1. 1. 1.]	[1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08 1.e-08]	[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125]	earth-mover	0.1992991072875	0.1992991072875
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	geographic	[0.4 0.4 0.4 0.2 0.2 0.3 0.2 1. ]	"[6.0000001e-01 6.0000001e-01 6.0000001e-01 8.0000001e-01 8.0000001e-01
 7.0000001e-01 8.0000001e-01 1.0000000e-08]"	"[1.22448980e-01 1.22448980e-01 1.22448980e-01 1.63265305e-01
 1.63265305e-01 1.42857143e-01 1.63265305e-01 2.04081629e-09]"	earth-mover	0.18973278091307266	0.1992991072875
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	syntactic	[0.66 0.73 0.74 0.78 0.5  0.8  0.71 0.61]	"[0.34000001 0.27000001 0.26000001 0.22000001 0.50000001 0.20000001
 0.29000001 0.39000001]"	"[0.13765182 0.10931174 0.10526316 0.08906883 0.20242915 0.08097166
 0.11740891 0.15789474]"	earth-mover	0.17994182046506396	0.1992991072875
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	inventory	[0.4502 0.3323 0.4708 0.384  0.4518 0.4606 0.5679 0.624 ]	"[0.54980001 0.66770001 0.52920001 0.61600001 0.54820001 0.53940001
 0.43210001 0.37600001]"	"[0.12910952 0.15679598 0.12427203 0.14465527 0.1287338  0.12666729
 0.10147004 0.08829607]"	earth-mover	0.19135011250916065	0.1992991072875
