	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	genetic	[0.2857 0.6    0.9375 1.     1.     0.8889 0.8    1.    ]	"[7.1430001e-01 4.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 2.0000001e-01 1.0000000e-08]"	"[4.80072566e-01 2.68835263e-01 4.20055156e-02 6.72088142e-09
 6.72088142e-09 7.46689993e-02 1.34417635e-01 6.72088142e-09]"	jensen-shannon	0.6230544552605295	0.5231452767703271
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	geographic	[0.  0.  0.  0.6 0.5 0.1 0.2 1. ]	"[1.00000001e+00 1.00000001e+00 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.78571428e-01 1.78571428e-01 1.78571428e-01 7.14285722e-02
 8.92857148e-02 1.60714285e-01 1.42857143e-01 1.78571426e-09]"	jensen-shannon	0.5439954808666227	0.5231452767703271
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	syntactic	[0.35 0.49 0.51 0.59 0.69 0.55 0.57 0.63]	"[0.65000001 0.51000001 0.49000001 0.41000001 0.31000001 0.45000001
 0.43000001 0.37000001]"	"[0.17955801 0.14088398 0.13535912 0.11325967 0.08563536 0.12430939
 0.11878453 0.10220995]"	jensen-shannon	0.5158861577077971	0.5231452767703271
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	inventory	[0.3086 0.4861 0.3411 0.4829 0.5183 0.4679 0.5297 0.6068]	"[0.69140001 0.51390001 0.65890001 0.51710001 0.48170001 0.53210001
 0.47030001 0.39320001]"	"[0.16235382 0.12067346 0.15472221 0.12142488 0.11311229 0.12494717
 0.11043535 0.09233081]"	jensen-shannon	0.516601823549876	0.5231452767703271
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.5538436048874008	0.5231452767703271
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	featural	[0.4 0.5 0.5 0.6 0.6 0.5 0.6 0.6]	"[0.60000001 0.50000001 0.50000001 0.40000001 0.40000001 0.50000001
 0.40000001 0.40000001]"	"[0.16216216 0.13513513 0.13513513 0.10810811 0.10810811 0.13513513
 0.10810811 0.10810811]"	jensen-shannon	0.5222793472781475	0.5231452767703271
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	genetic	[0.2857 0.6    0.9375 1.     1.     0.8889 0.8    1.    ]	"[7.1430001e-01 4.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 2.0000001e-01 1.0000000e-08]"	"[4.80072566e-01 2.68835263e-01 4.20055156e-02 6.72088142e-09
 6.72088142e-09 7.46689993e-02 1.34417635e-01 6.72088142e-09]"	earth-mover	0.046988611888835255	0.1405608655375
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	geographic	[0.  0.  0.  0.6 0.5 0.1 0.2 1. ]	"[1.00000001e+00 1.00000001e+00 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.78571428e-01 1.78571428e-01 1.78571428e-01 7.14285722e-02
 8.92857148e-02 1.60714285e-01 1.42857143e-01 1.78571426e-09]"	earth-mover	0.12218951146454082	0.1405608655375
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	syntactic	[0.35 0.49 0.51 0.59 0.69 0.55 0.57 0.63]	"[0.65000001 0.51000001 0.49000001 0.41000001 0.31000001 0.45000001
 0.43000001 0.37000001]"	"[0.17955801 0.14088398 0.13535912 0.11325967 0.08563536 0.12430939
 0.11878453 0.10220995]"	earth-mover	0.12295036868911319	0.1405608655375
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	inventory	[0.3086 0.4861 0.3411 0.4829 0.5183 0.4679 0.5297 0.6068]	"[0.69140001 0.51390001 0.65890001 0.51710001 0.48170001 0.53210001
 0.47030001 0.39320001]"	"[0.16235382 0.12067346 0.15472221 0.12142488 0.11311229 0.12494717
 0.11043535 0.09233081]"	earth-mover	0.12623383173773517	0.1405608655375
10	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	earth-mover	0.11041777179663764	0.1405608655375
11	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	featural	[0.4 0.5 0.5 0.6 0.6 0.5 0.6 0.6]	"[0.60000001 0.50000001 0.50000001 0.40000001 0.40000001 0.50000001
 0.40000001 0.40000001]"	"[0.16216216 0.13513513 0.13513513 0.10810811 0.10810811 0.13513513
 0.10810811 0.10810811]"	earth-mover	0.12873654146883676	0.1405608655375
