	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	genetic	[0.8571 0.9    0.9375 1.     1.     0.8889 0.4    1.    ]	"[1.4290001e-01 1.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 6.0000001e-01 1.0000000e-08]"	"[1.40580422e-01 9.83767852e-02 6.14854944e-02 9.83767753e-09
 9.83767753e-09 1.09296607e-01 5.90260662e-01 9.83767753e-09]"	jensen-shannon	0.6183185900890419	0.5219798994992207
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	geographic	[0.  0.1 0.1 0.5 0.4 0.  0.2 1. ]	"[1.00000001e+00 9.00000010e-01 9.00000010e-01 5.00000010e-01
 6.00000010e-01 1.00000001e+00 8.00000010e-01 1.00000000e-08]"	"[1.75438596e-01 1.57894736e-01 1.57894736e-01 8.77192988e-02
 1.05263158e-01 1.75438596e-01 1.40350877e-01 1.75438594e-09]"	jensen-shannon	0.5131166497498726	0.5219798994992207
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	syntactic	[0.55 0.59 0.56 0.5  0.73 0.4  0.47 0.6 ]	"[0.45000001 0.41000001 0.44000001 0.50000001 0.27000001 0.60000001
 0.53000001 0.40000001]"	"[0.125      0.11388889 0.12222222 0.13888889 0.075      0.16666667
 0.14722222 0.11111111]"	jensen-shannon	0.4794024654032253	0.5219798994992207
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	inventory	[0.5805 0.5472 0.5239 0.3821 0.5825 0.4856 0.4949 0.6597]	"[0.41950001 0.45280001 0.47610001 0.61790001 0.41750001 0.51440001
 0.50510001 0.34030001]"	"[0.11205791 0.12095309 0.12717705 0.16505503 0.11152367 0.13740784
 0.1349236  0.09090181]"	jensen-shannon	0.48344852440232366	0.5219798994992207
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	phonological	[0.3333 0.2804 0.3333 0.2804 0.4327 0.2163 0.     0.6162]	"[0.66670001 0.71960001 0.66670001 0.71960001 0.56730001 0.78370001
 1.00000001 0.38380001]"	"[0.12105531 0.13066057 0.12105531 0.13066057 0.10300686 0.14229945
 0.18157388 0.06968806]"	jensen-shannon	0.4923231592865079	0.5219798994992207
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	featural	[0.5 0.5 0.5 0.4 0.6 0.4 0.5 0.6]	"[0.50000001 0.50000001 0.50000001 0.60000001 0.40000001 0.60000001
 0.50000001 0.40000001]"	[0.125 0.125 0.125 0.15  0.1   0.15  0.125 0.1  ]	jensen-shannon	0.48673106238272434	0.5219798994992207
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	genetic	[0.8571 0.9    0.9375 1.     1.     0.8889 0.4    1.    ]	"[1.4290001e-01 1.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 6.0000001e-01 1.0000000e-08]"	"[1.40580422e-01 9.83767852e-02 6.14854944e-02 9.83767753e-09
 9.83767753e-09 1.09296607e-01 5.90260662e-01 9.83767753e-09]"	earth-mover	0.07253613741075038	0.1546509419375
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	geographic	[0.  0.1 0.1 0.5 0.4 0.  0.2 1. ]	"[1.00000001e+00 9.00000010e-01 9.00000010e-01 5.00000010e-01
 6.00000010e-01 1.00000001e+00 8.00000010e-01 1.00000000e-08]"	"[1.75438596e-01 1.57894736e-01 1.57894736e-01 8.77192988e-02
 1.05263158e-01 1.75438596e-01 1.40350877e-01 1.75438594e-09]"	earth-mover	0.12943165370724452	0.1546509419375
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	syntactic	[0.55 0.59 0.56 0.5  0.73 0.4  0.47 0.6 ]	"[0.45000001 0.41000001 0.44000001 0.50000001 0.27000001 0.60000001
 0.53000001 0.40000001]"	"[0.125      0.11388889 0.12222222 0.13888889 0.075      0.16666667
 0.14722222 0.11111111]"	earth-mover	0.13867872007021603	0.1546509419375
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	pl_PL	[0.0003759501, 0.0425140161, 2.0164e-06, 0.4382567737, 4.04e-08, 0.4303469885, 0.0875568282, 0.0009473755]	inventory	[0.5805 0.5472 0.5239 0.3821 0.5825 0.4856 0.4949 0.6597]	"[0.41950001 0.45280001 0.47610001 0.61790001 0.41750001 0.51440001
 0.50510001 0.34030001]"	"[0.11205791 0.12095309 0.12717705 0.16505503 0.11152367 0.13740784
 0.1349236  0.09090181]"	earth-mover	0.14153522472659535	0.1546509419375
