	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
0	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	genetic	[0.8571 0.9    0.9375 1.     1.     0.8889 0.2    1.    ]	"[1.4290001e-01 1.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 8.0000001e-01 1.0000000e-08]"	"[1.17468147e-01 8.22030443e-02 5.13769058e-02 8.22030361e-09
 8.22030361e-09 9.13275813e-02 6.57624297e-01 8.22030361e-09]"	jensen-shannon	0.3693956162579337	0.7049056143526996
1	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	geographic	[0.1 0.1 0.1 0.5 0.4 0.  0.2 1. ]	"[9.00000010e-01 9.00000010e-01 9.00000010e-01 5.00000010e-01
 6.00000010e-01 1.00000001e+00 8.00000010e-01 1.00000000e-08]"	"[1.60714285e-01 1.60714285e-01 1.60714285e-01 8.92857148e-02
 1.07142857e-01 1.78571428e-01 1.42857143e-01 1.78571426e-09]"	jensen-shannon	0.6912403076354178	0.7049056143526996
2	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	syntactic	[0.66 0.76 0.66 0.73 0.8  0.64 0.61 0.74]	"[0.34000001 0.24000001 0.34000001 0.27000001 0.20000001 0.36000001
 0.39000001 0.26000001]"	"[0.14166667 0.1        0.14166667 0.1125     0.08333333 0.15
 0.1625     0.10833333]"	jensen-shannon	0.6767217983097019	0.7049056143526996
3	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	inventory	[0.6153 0.5983 0.6025 0.669  0.6597 0.6552 0.688  0.    ]	"[0.38470001 0.40170001 0.39750001 0.33100001 0.34030001 0.34480001
 0.31200001 1.00000001]"	"[0.10953872 0.11437927 0.11318337 0.09424829 0.09689636 0.09817768
 0.08883827 0.28473804]"	jensen-shannon	0.73432855353991	0.7049056143526996
4	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.7262267634150069	0.7049056143526996
5	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	be_BY	[1.51e-08, 1.474e-06, 0.0, 4.1212e-06, 0.0, 7.732e-07, 0.9999936181, 0.0]	featural	[0.8 0.9 0.8 0.8 0.9 0.8 0.7 0.9]	"[0.20000001 0.10000001 0.20000001 0.20000001 0.10000001 0.20000001
 0.30000001 0.10000001]"	"[0.14285714 0.07142857 0.14285714 0.14285714 0.07142857 0.14285714
 0.21428571 0.07142857]"	jensen-shannon	0.6404546756803077	0.7049056143526996
6	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	jensen-shannon	0.466602975997387	0.4289815459443131
7	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	jensen-shannon	0.39947999164033854	0.4289815459443131
8	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	syntactic	[0.5  0.4  0.41 0.57 0.76 0.47 0.45 0.56]	"[0.50000001 0.60000001 0.59000001 0.43000001 0.24000001 0.53000001
 0.55000001 0.44000001]"	"[0.12886598 0.15463917 0.15206186 0.11082474 0.06185567 0.13659794
 0.14175258 0.11340206]"	jensen-shannon	0.4123125053707526	0.4289815459443131
9	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	inventory	[0.6393 0.5481 0.5804 0.4627 0.5914 0.5114 0.5273 0.6832]	"[0.36070001 0.45190001 0.41960001 0.53730001 0.40860001 0.48860001
 0.47270001 0.31680001]"	"[0.10436317 0.13075054 0.12140501 0.15545975 0.11822233 0.14136913
 0.13676871 0.09166136]"	jensen-shannon	0.39961599817661986	0.4289815459443131
